region,week,sum_infections,sum_unemployed,sum_deaths,rnd_var
Белгородская,2020-10-26,684.0,233,2.0,51.714285714285715
Брянская,2020-04-06,210.0,613,3.0,49.84375
Брянская,2020-04-13,512.0,3572,0.0,54.36363636363637
Брянская,2020-04-20,179.0,3032,1.0,53.96969696969697
Брянская,2020-04-27,321.0,1976,3.0,49.42424242424242
Брянская,2020-05-04,259.0,1326,4.0,39.83870967741935
Брянская,2020-05-11,487.0,2271,0.0,54.21212121212121
Брянская,2020-05-18,707.0,2138,7.0,50.0
Брянская,2020-05-25,764.0,1918,1.0,47.27272727272727
Брянская,2020-06-01,628.0,1987,0.0,56.666666666666664
Брянская,2020-06-08,247.0,1052,0.0,49.193548387096776
Брянская,2020-06-15,726.0,2163,8.0,45.515151515151516
Брянская,2020-06-22,557.0,1465,2.0,48.21875
Брянская,2020-06-29,492.0,1387,0.0,52.5625
Брянская,2020-07-06,267.0,1247,0.0,46.39393939393939
Брянская,2020-07-13,559.0,1081,5.0,48.515151515151516
Брянская,2020-07-20,251.0,894,0.0,56.13333333333333
Брянская,2020-07-27,177.0,875,0.0,56.3
Брянская,2020-08-03,125.0,921,0.0,48.733333333333334
Брянская,2020-08-10,347.0,788,6.0,50.54838709677419
Брянская,2020-08-17,488.0,658,7.0,46.774193548387096
Брянская,2020-08-24,170.0,541,0.0,54.83870967741935
Брянская,2020-08-31,205.0,540,0.0,50.51851851851852
Брянская,2020-09-07,196.0,1032,0.0,49.6875
Брянская,2020-09-14,589.0,676,3.0,57.21875
Брянская,2020-09-21,343.0,547,2.0,48.464285714285715
Брянская,2020-09-28,303.0,606,0.0,46.5
Брянская,2020-10-05,156.0,540,1.0,50.827586206896555
Брянская,2020-10-12,632.0,485,6.0,45.964285714285715
Брянская,2020-10-19,723.0,503,6.0,44.064516129032256
Брянская,2020-10-26,970.0,273,8.0,40.44444444444444
Бурятия,2020-04-06,74.0,561,0.0,41.54545454545455
Бурятия,2020-04-13,691.0,6391,17.0,42.18181818181818
Бурятия,2020-04-20,38.0,3361,1.0,54.63636363636363
Бурятия,2020-04-27,94.0,2473,0.0,54.42424242424242
Бурятия,2020-05-04,62.0,1035,1.0,51.696969696969695
Бурятия,2020-05-11,521.0,2316,15.0,49.45454545454545
Бурятия,2020-05-18,532.0,2125,7.0,52.81818181818182
Бурятия,2020-05-25,261.0,2133,1.0,54.15151515151515
Бурятия,2020-06-01,258.0,2315,3.0,48.42424242424242
Бурятия,2020-06-08,168.0,1413,2.0,54.57575757575758
Бурятия,2020-06-15,766.0,1585,17.0,57.93939393939394
Бурятия,2020-06-22,339.0,1401,5.0,53.75757575757576
Бурятия,2020-06-29,295.0,1073,3.0,48.6875
Бурятия,2020-07-06,139.0,1459,1.0,49.375
Бурятия,2020-07-13,719.0,1198,22.0,56.71875
Бурятия,2020-07-20,278.0,1017,7.0,59.59375
Бурятия,2020-07-27,242.0,1220,5.0,44.28125
Бурятия,2020-08-03,147.0,989,3.0,42.96875
Бурятия,2020-08-10,292.0,831,0.0,55.0
Бурятия,2020-08-17,630.0,783,19.0,56.0
Бурятия,2020-08-24,276.0,703,3.0,47.41379310344828
Бурятия,2020-08-31,337.0,674,2.0,41.28125
Бурятия,2020-09-07,116.0,885,3.0,52.03030303030303
Бурятия,2020-09-14,728.0,785,24.0,43.696969696969695
Бурятия,2020-09-21,397.0,710,2.0,55.354838709677416
Бурятия,2020-09-28,467.0,793,5.0,59.696969696969695
Бурятия,2020-10-05,163.0,769,3.0,45.40625
Бурятия,2020-10-12,741.0,685,13.0,48.86666666666667
Бурятия,2020-10-19,819.0,817,11.0,58.483870967741936
Бурятия,2020-10-26,1444.0,609,13.0,62.21875
Владимирская,2020-04-06,121.0,760,6.0,42.65625
Владимирская,2020-04-13,422.0,3544,12.0,46.42424242424242
Владимирская,2020-04-20,175.0,3100,4.0,54.75757575757576
Владимирская,2020-04-27,259.0,2693,0.0,55.666666666666664
Владимирская,2020-05-04,151.0,1485,0.0,47.18181818181818
Владимирская,2020-05-11,362.0,2439,12.0,41.09090909090909
Владимирская,2020-05-18,598.0,2088,6.0,29.757575757575758
Владимирская,2020-05-25,485.0,1604,1.0,56.84375
Владимирская,2020-06-01,354.0,1776,5.0,44.93939393939394
Владимирская,2020-06-08,188.0,1163,6.0,45.09375
Владимирская,2020-06-15,526.0,1412,9.0,50.21875
Владимирская,2020-06-22,385.0,1321,6.0,55.41935483870968
Владимирская,2020-06-29,360.0,1254,11.0,48.266666666666666
Владимирская,2020-07-06,196.0,1159,1.0,59.25806451612903
Владимирская,2020-07-13,461.0,1245,14.0,56.36363636363637
Владимирская,2020-07-20,299.0,1090,18.0,51.09375
Владимирская,2020-07-27,229.0,1129,16.0,47.3125
Владимирская,2020-08-03,96.0,1107,14.0,52.666666666666664
Владимирская,2020-08-10,267.0,1007,7.0,47.733333333333334
Владимирская,2020-08-17,382.0,882,20.0,54.63333333333333
Владимирская,2020-08-24,165.0,865,6.0,52.774193548387096
Владимирская,2020-08-31,181.0,854,2.0,55.12903225806452
Владимирская,2020-09-07,166.0,888,8.0,41.714285714285715
Владимирская,2020-09-14,437.0,889,11.0,45.96875
Владимирская,2020-09-21,229.0,781,2.0,52.45454545454545
Владимирская,2020-09-28,242.0,794,10.0,57.58064516129032
Владимирская,2020-10-05,171.0,835,7.0,35.53125
Владимирская,2020-10-12,487.0,840,9.0,46.58620689655172
Владимирская,2020-10-19,549.0,772,9.0,43.83870967741935
Владимирская,2020-10-26,609.0,487,7.0,53.61538461538461
Волгоградская,2020-04-06,151.0,764,3.0,42.93939393939394
Волгоградская,2020-04-13,873.0,2271,15.0,46.484848484848484
Волгоградская,2020-04-20,67.0,3744,1.0,53.303030303030305
Волгоградская,2020-04-27,161.0,3763,7.0,46.666666666666664
Волгоградская,2020-05-04,72.0,1817,0.0,50.4375
Волгоградская,2020-05-11,834.0,4196,4.0,52.36363636363637
Волгоградская,2020-05-18,777.0,3780,6.0,43.666666666666664
Волгоградская,2020-05-25,635.0,3568,2.0,44.96969696969697
Волгоградская,2020-06-01,730.0,4086,4.0,55.303030303030305
Волгоградская,2020-06-08,393.0,2517,2.0,51.515151515151516
Волгоградская,2020-06-15,1029.0,2909,15.0,49.875
Волгоградская,2020-06-22,735.0,2246,4.0,55.06060606060606
Волгоградская,2020-06-29,714.0,2024,4.0,56.515151515151516
Волгоградская,2020-07-06,289.0,2153,4.0,54.121212121212125
Волгоградская,2020-07-13,985.0,2154,13.0,49.3125
Волгоградская,2020-07-20,633.0,2068,5.0,52.21875
Волгоградская,2020-07-27,629.0,2435,6.0,55.03125
Волгоградская,2020-08-03,364.0,2164,3.0,53.666666666666664
Волгоградская,2020-08-10,612.0,1986,4.0,45.21212121212121
Волгоградская,2020-08-17,959.0,1733,10.0,45.25806451612903
Волгоградская,2020-08-24,648.0,1511,6.0,41.09090909090909
Волгоградская,2020-08-31,714.0,1442,16.0,38.70967741935484
Волгоградская,2020-09-07,282.0,1650,1.0,54.4375
Волгоградская,2020-09-14,1028.0,1368,15.0,56.40625
Волгоградская,2020-09-21,685.0,1188,6.0,50.96875
Волгоградская,2020-09-28,730.0,1274,11.0,57.9375
Волгоградская,2020-10-05,332.0,1148,5.0,55.34375
Волгоградская,2020-10-12,1041.0,1139,11.0,55.71875
Волгоградская,2020-10-19,1197.0,1045,17.0,49.27272727272727
Волгоградская,2020-10-26,1341.0,695,15.0,50.5
Вологодская,2020-04-06,25.0,367,0.0,53.333333333333336
Вологодская,2020-04-13,621.0,1854,14.0,49.78787878787879
Вологодская,2020-04-20,57.0,1131,0.0,49.24242424242424
Вологодская,2020-04-27,55.0,1371,0.0,52.65625
Вологодская,2020-05-04,18.0,565,0.0,55.166666666666664
Вологодская,2020-05-11,278.0,2112,4.0,42.333333333333336
Вологодская,2020-05-18,508.0,1998,16.0,50.15151515151515
Вологодская,2020-05-25,211.0,1835,1.0,41.84375
Вологодская,2020-06-01,264.0,1819,3.0,52.266666666666666
Вологодская,2020-06-08,85.0,880,1.0,39.0
Вологодская,2020-06-15,656.0,1190,12.0,44.09375
Вологодская,2020-06-22,143.0,1089,3.0,51.45454545454545
Вологодская,2020-06-29,141.0,1121,1.0,45.666666666666664
Вологодская,2020-07-06,54.0,1235,0.0,48.515151515151516
Вологодская,2020-07-13,668.0,1156,16.0,47.375
Вологодская,2020-07-20,199.0,1008,0.0,47.096774193548384
Вологодская,2020-07-27,183.0,1206,2.0,49.96875
Вологодская,2020-08-03,109.0,1061,4.0,47.875
Вологодская,2020-08-10,188.0,928,0.0,45.86666666666667
Вологодская,2020-08-17,668.0,889,7.0,40.56666666666667
Вологодская,2020-08-24,231.0,865,4.0,57.89655172413793
Вологодская,2020-08-31,231.0,802,2.0,45.03333333333333
Вологодская,2020-09-07,68.0,819,0.0,47.87096774193548
Вологодская,2020-09-14,714.0,782,14.0,55.63333333333333
Вологодская,2020-09-21,305.0,730,1.0,48.67857142857143
Вологодская,2020-09-28,319.0,817,1.0,44.758620689655174
Вологодская,2020-10-05,116.0,797,1.0,53.0
Вологодская,2020-10-12,684.0,813,18.0,46.193548387096776
Вологодская,2020-10-19,554.0,764,3.0,43.6551724137931
Вологодская,2020-10-26,641.0,510,4.0,49.0
Воронежская,2020-04-06,143.0,1925,2.0,49.96969696969697
Воронежская,2020-04-13,1199.0,4255,29.0,51.63636363636363
Воронежская,2020-04-20,120.0,3476,5.0,43.0
Воронежская,2020-04-27,178.0,2745,3.0,56.0
Воронежская,2020-05-04,135.0,1311,1.0,39.45454545454545
Воронежская,2020-05-11,991.0,3145,18.0,46.96969696969697
Воронежская,2020-05-18,625.0,2741,11.0,48.515151515151516
Воронежская,2020-05-25,323.0,2920,1.0,61.696969696969695
Воронежская,2020-06-01,510.0,3073,1.0,57.81818181818182
Воронежская,2020-06-08,387.0,1802,2.0,46.0
Воронежская,2020-06-15,1639.0,2408,24.0,53.84848484848485
Воронежская,2020-06-22,1402.0,1969,8.0,51.696969696969695
Воронежская,2020-06-29,1347.0,1860,5.0,50.39393939393939
Воронежская,2020-07-06,352.0,1912,3.0,56.121212121212125
Воронежская,2020-07-13,1335.0,1850,28.0,50.15151515151515
Воронежская,2020-07-20,769.0,1709,14.0,60.15151515151515
Воронежская,2020-07-27,635.0,2050,1.0,43.303030303030305
Воронежская,2020-08-03,350.0,1810,4.0,54.39393939393939
Воронежская,2020-08-10,806.0,1630,15.0,58.06060606060606
Воронежская,2020-08-17,1158.0,1545,26.0,47.78125
Воронежская,2020-08-24,687.0,1417,7.0,45.666666666666664
Воронежская,2020-08-31,705.0,1407,5.0,46.9375
Воронежская,2020-09-07,394.0,1589,3.0,57.375
Воронежская,2020-09-14,1310.0,1410,27.0,47.6875
Воронежская,2020-09-21,935.0,1390,15.0,58.9375
Воронежская,2020-09-28,1105.0,1439,22.0,50.56666666666667
Воронежская,2020-10-05,370.0,1327,8.0,54.15625
Воронежская,2020-10-12,1464.0,1275,36.0,49.15151515151515
Воронежская,2020-10-19,1564.0,1266,30.0,48.21212121212121
Воронежская,2020-10-26,1792.0,822,48.0,46.28125
Дагестан,2020-04-06,291.0,443,0.0,54.61290322580645
Дагестан,2020-04-13,465.0,9174,22.0,55.45454545454545
Дагестан,2020-04-20,247.0,9234,9.0,54.09090909090909
Дагестан,2020-04-27,663.0,4216,2.0,55.71875
Дагестан,2020-05-04,395.0,2397,1.0,49.333333333333336
Дагестан,2020-05-11,589.0,4135,12.0,50.90909090909091
Дагестан,2020-05-18,694.0,3911,15.0,51.903225806451616
Дагестан,2020-05-25,745.0,5890,68.0,53.56666666666667
Дагестан,2020-06-01,750.0,12989,138.0,47.666666666666664
Дагестан,2020-06-08,436.0,11567,15.0,53.696969696969695
Дагестан,2020-06-15,658.0,14184,35.0,44.60606060606061
Дагестан,2020-06-22,615.0,19327,32.0,54.0625
Дагестан,2020-06-29,508.0,17038,22.0,48.696969696969695
Дагестан,2020-07-06,298.0,17112,7.0,52.45454545454545
Дагестан,2020-07-13,514.0,14600,27.0,56.75
Дагестан,2020-07-20,305.0,12292,12.0,49.15151515151515
Дагестан,2020-07-27,284.0,10159,15.0,42.81818181818182
Дагестан,2020-08-03,163.0,8218,3.0,52.96875
Дагестан,2020-08-10,465.0,7720,16.0,41.84375
Дагестан,2020-08-17,496.0,7434,18.0,51.96875
Дагестан,2020-08-24,430.0,6835,15.0,55.516129032258064
Дагестан,2020-08-31,478.0,3709,12.0,56.9
Дагестан,2020-09-07,259.0,3719,6.0,51.6
Дагестан,2020-09-14,598.0,3758,18.0,50.3448275862069
Дагестан,2020-09-21,593.0,4322,28.0,49.875
Дагестан,2020-09-28,579.0,3646,52.0,46.56666666666667
Дагестан,2020-10-05,259.0,2221,17.0,55.70967741935484
Дагестан,2020-10-12,598.0,2091,23.0,52.07142857142857
Дагестан,2020-10-19,603.0,1976,30.0,56.57142857142857
Дагестан,2020-10-26,589.0,1319,49.0,46.93333333333333
Еврейская АО,2020-04-06,8.0,99,0.0,42.23809523809524
Еврейская АО,2020-04-13,122.0,228,7.0,48.07142857142857
Еврейская АО,2020-04-20,13.0,222,0.0,49.370370370370374
