,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp,vrp,vrp_norm
51,Пензенская,37374,14684.0,172.0,10362.0,1305563.0,0.0286267303837501,0.0112472550156522,0.0079368058071498,0.0001317439296303,38.53128372893202,112.87927124160228,4.895024771968877,1.3441575243965524,13.6,1.4,40.97,7.7,66.5,493000.0,0.3776148680684119
52,Пермский край,97250,14301.0,479.0,10628.0,2599260.0,0.0374144948947008,0.005501950555158,0.0040888560590321,0.00018428321907,44.83117887015688,135.65360910412963,4.452842131140495,1.5478739355628652,14.0,2.2,44.64,4.9,63.5,1403.0,0.0005397690111801051
53,Приморский край,47439,15448.0,168.0,11791.0,1895868.0,0.025022311679927,0.0081482466078862,0.0062193148468142,8.861376424940977e-05,46.78779126145467,197.04325406621132,5.400109734266353,1.5718821221940795,13.6,1.9,40.89,20.8,57.0,1100.0,0.0005802091706806592
54,Псковская,13681,9388.0,60.0,4667.0,626115.0,0.021850618496602,0.0149940506137051,0.0074539022384066,9.582904099087228e-05,32.30383084401811,106.88930947190212,4.161100504010749,1.3826304039484196,16.2,1.9,40.73,17.7,59.6,203000.0,0.32422158868578455
55,Ростовская,149789,29246.0,912.0,23322.0,4197821.0,0.0356825600710463,0.0069669478522309,0.0055557395134285,0.0002172555714024,40.709087988500336,137.5072924738811,4.4597803463486425,1.5312589881200906,13.3,2.0,44.03,9.7,69.0,1692.0,0.00040306625747024466
56,Рязанская,20656,10277.0,63.0,8133.0,1108847.0,0.0186283590071488,0.0092681857821683,0.0073346458077624,5.681577350166434e-05,44.23265772218418,145.8325630136529,5.407013570637089,1.4400400875084842,12.7,1.5,45.52,10.6,65.7,456000.0,0.4112379796310943
57,Самарская,66038,16053.0,291.0,14362.0,3179532.0,0.0207697233429322,0.0050488562467683,0.004517016969793,9.152290337068474e-05,49.58895544017901,186.13462610220623,6.339141466729317,1.559133359202795,12.9,1.7,48.71,10.8,61.6,1600.0,0.0005032187126910501
58,Санкт-Петербург,130101,83734.0,3797.0,48256.0,5398064.0,0.0241014185826622,0.0155118575844969,0.008939501273049,0.0007034003301924,79.89504748937493,438.6094718402746,9.303069073483847,2.046459247856341,6.6,0.8,93.43,15.4,62.8,5236.0,0.0009699773844845115
59,Саратовская,75298,19730.0,182.0,13252.0,2421895.0,0.0310905303491687,0.0081465133707282,0.0054717483623361,7.514776652167002e-05,37.50466798753428,117.6896603692563,5.193088233742873,1.383463207688954,15.5,2.0,43.54,15.0,69.0,863000.0,0.3563325412538529
60,Саха,38946,13696.0,128.0,11054.0,971996.0,0.0400680661237289,0.0140905929654031,0.0113724747838468,0.0001316877847233,47.36573823365886,122.64145119938766,2.6982333468871382,1.7123972529497358,17.9,3.3,32.75,5.9,57.0,1141.0,0.0011738731435108785
61,Сахалинская,4892,7911.0,4.0,5563.0,488257.0,0.0100193135991905,0.0162025326825831,0.0113935898512463,8.192406867694677e-06,77.09416239332057,265.32952932574443,4.657171330353715,2.223932664423524,8.6,1.2,106.29,33.3,51.8,1002.9999999999999,0.0020542460220744404
62,Свердловская,145076,33476.0,795.0,27815.0,4310681.0,0.0336550071786801,0.007765826327673,0.006452576750634,0.0001844256162773,57.85508029419907,178.48618350557604,4.576304790251229,1.938747295062328,9.0,1.2,58.12,13.3,69.9,2530.0,0.0005869142253857337
63,Севастополь,8219,2854.0,90.0,2056.0,449138.0,0.0182994981497891,0.0063543944177513,0.0045776576464249,0.0002003838463901,31.969650686376266,83.35968009832168,2.832954293910677,1.5336083070878417,11.6,1.2,55.05,-4.9,46.5,142000.0,0.31616117986008757
