,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,depo_mean_20,depo_salary_20,income_fix_20,poverty_proc_20,ex_poverty_proc_20,social_exp_20,growth_social_exp_20,soc_in_total_exp_20
61,Сахалинская,4892,7911.0,4.0,5563.0,488257.0,0.0100193135991905,0.0162025326825831,0.0113935898512463,8.192406867694677e-06,296.725223991549,4.814603607669108,1.7123972529497358,17.9,3.3,107.44,-0.2,56.9
62,Свердловская,145076,33476.0,795.0,27815.0,4310681.0,0.0336550071786801,0.007765826327673,0.006452576750634,0.0001844256162773,205.3061175967648,5.297060453752462,1.938747295062328,9.0,1.2,74.72,8.4,70.5
63,Севастополь,8219,2854.0,90.0,2056.0,449138.0,0.0182994981497891,0.0063543944177513,0.0045776576464249,0.0002003838463901,79.34438187265683,2.6181296246638617,1.5336083070878417,11.6,1.2,83.94,3.5,53.2
64,Северная Осетия,30273,6919.0,60.0,5224.0,696837.0,0.0434434451672342,0.009929151293631,0.0074967316603452,8.610334985082595e-05,71.3232472175652,2.8166792270504684,1.429339882820125,13.5,1.6,61.53,4.1,71.2
65,Смоленская,21758,8748.0,205.0,6245.0,934889.0,0.0232733511678926,0.0093572605945732,0.0066799374043335,0.0002192773687571,141.3930978030174,4.775341882637624,1.4202767731215853,16.3,2.4,49.2,1.7,64.2
66,Ставропольский край,94718,20297.0,411.0,15442.0,2803573.0,0.0337847453945376,0.0072396902096003,0.0055079714350223,0.0001465986439447,110.06317683067437,4.374877845245025,1.239114749925231,14.0,1.8,51.43,5.8,71.2
67,Тамбовская,13995,9619.0,61.0,7861.0,1006748.0,0.0139011947379085,0.0095545260581595,0.0078083095273097,6.0591131047690186e-05,114.65779047082722,3.945859210394033,1.6011817777278057,10.8,1.2,51.46,10.1,66.7
68,Татарстан,114889,7909.0,108.0,6464.0,3902888.0,0.0294369195324077,0.0020264481071452,0.0016562094531024,2.7671816357528066e-05,182.8166569083644,4.793776443891688,1.973546916474821,7.0,0.8,70.52,6.8,58.4
69,Тверская,24758,10292.0,279.0,6036.0,1260379.0,0.0196432977699565,0.0081657977481376,0.0047890356789505,0.0002213619871483,150.4906395936478,5.157895913480693,1.4991018563556069,11.7,1.1,54.33,11.1,60.2
70,Томская,36306,12529.0,112.0,8968.0,1079271.0,0.0336393732436061,0.011608761840168,0.0083093124896342,0.0001037737509856,149.73106651257217,5.0795466508094265,1.4610054168384308,14.8,1.8,53.47,6.4,68.6
71,Тульская,33379,12268.0,393.0,10409.0,1466127.0,0.022766786233389,0.0083676243599633,0.0070996578059063,0.0002680531768393,165.24706458769663,5.297526374702753,1.5279698669028807,10.3,0.9,67.35,8.9,68.4
72,Тыва,23293,8978.0,113.0,7922.0,327383.0,0.0711490822675581,0.0274235375691468,0.0241979577436824,0.0003451614775354,35.66326036419992,1.9356433208065305,0.9687996145612312,34.6,6.6,62.16,8.8,67.8
73,Тюменская,60317,13017.0,83.0,10268.0,1537416.0,0.0392327125514499,0.0084668040400256,0.0066787388709366,5.398668935408503e-05,191.6380121926488,5.951213831425516,1.5948567327817504,14.7,2.2,94.27,2.8,56.6
74,Удмуртия,30142,9237.0,166.0,7181.0,1500955.0,0.0200818812023012,0.0061540819011895,0.004784287337062,0.0001105962537184,132.17076169379573,4.996154215494367,1.4139066821343018,12.4,1.3,63.44,8.8,72.4
75,Ульяновская,44680,20239.0,262.0,16700.0,1229824.0,0.0363304017485428,0.0164568263426311,0.0135791788093255,0.0002130386136552,128.5484343591457,4.980229328082973,1.3122969443991483,15.4,1.8,63.08,8.2,64.7
76,ХМАО,48981,25996.0,256.0,23494.0,1674676.0,0.0292480455921025,0.0155230026584246,0.0140289823225507,0.0001528653900814,288.0080869656932,5.1854341457677,2.169102130778504,8.9,1.1,89.84,3.3,69.0
77,Хабаровский край,34145,16962.0,113.0,13004.0,1315643.0,0.0259530890978783,0.0128925551992447,0.0098841403024984,8.588956122595567e-05,222.2473286619984,5.182764998414215,1.706131899532005,12.3,1.6,58.73,8.1,69.0
78,Хакасия,17068,7700.0,83.0,6276.0,534262.0,0.031946872508245,0.014412404400837,0.0117470454570978,0.000155354488996,98.6850513875001,3.929953063896304,1.236817093270671,19.0,2.3,63.66,9.5,73.0
79,Челябинская,106538,18836.0,186.0,14198.0,3466369.0,0.0307347544361261,0.0054339281247899,0.0040959286215633,5.3658453557598746e-05,153.38226623020148,5.526691393009818,1.5224480333797996,12.9,1.3,64.93,2.7,72.5
80,Чувашия,42008,9447.0,190.0,7616.0,1217818.0,0.0344944811129413,0.0077573167747561,0.0062538080402818,0.0001560167447024,138.7544240918969,6.155782883782388,1.2368144203460312,17.4,2.0,55.3,11.3,69.5
81,Ямало-Ненецкий АО,8938,19261.0,128.0,14760.0,544444.0,0.0164167480953045,0.0353773758182659,0.0271102262124295,0.0002351022327365,363.9586113599386,3.902120801097206,3.1139665355056185,5.7,0.8,97.55,2.9,53.7
82,Ярославская,39707,11522.0,66.0,10227.0,1253389.0,0.0316797099703284,0.0091926768146202,0.0081594780231835,5.265723570256321e-05,202.7099524417121,6.415074921412454,1.5057523795079564,10.3,1.0,63.94,7.1,66.7
